0=special goods
	pax (Passagiere)
	mail (Post)
	billet (Stahlträger)
	sheetmetal (Blechrollen)
	cattle (Rinder)
	milk (Milch)
	cars (Autos)
	glass (Glas)*
	patients (Patienten)
	deceased (Verstoreben)
	*cement (Zement)
1= piece good(Stückgut)
	flour (Mehl)
	car_parts (Autoteile)
	berries (Beeren)
	juice (Saft)
	coka_drink (Cola)
	textiles (Kleidung)
	fiber (Textilfaser)
	toys (Spielzeug)
	vine (Wein)
	beer (Bier)
	rum (Rum)
	furniture (Möbel)
	honey (Honig)
	wax (Wachs)**
	comics (Comics)
	paint (Farbe)
	sausages (Würste)
	ironmongery (Kleinteile)
	lightbulbs (Glühbirnen)
	electronics (Elektrogeräte)
2=bulk_good (Schüttgut)
	coal (Kohle)
	ore (Erz)
	copper (Kupfer)
	sand (Sand)
	limestone (Kalkstein)
	salt (Salz)
	plastic (Plastik)
	*gravel (Schotter)
3=mineral_oil (Mineralöle)
	oil (Rohöl)
	naphtha (Naphtha)
	fuel (Benzin)
	heavy_oil (Schweröl)
	solvent (Lösungsmittel)
	ink (Tinte)
4=frozen_goods (Gefriergut)
	dairy (Milchprodukte)
	meat (Fleisch)
	icecream (Speiseeis)
5=prisoners (Gefangene)
	suspects (Verdächtige)
	convicts (Verurteilte)
6=wood (Holz)
	logs (Stämme)
	boards (Bretter)
	sugarcane (Zuckerrohr)
7=pourable_goods (Rieselgut)
	grain (Getreide)
	malt (Malz)
	sugar (Zucker)
	*coffee (Kaffee)
8=valuables (Wertgegenstände)
	gold (Goldbarren)
	coins (Münzen)
	notes (Papiergeld)
9=agricultural(Lebensmittel)
	apples (Äpfel)
	hop (Hopfen)
	coka_leaves (Colablätter)
10=rolled_goods
	yarn (Garn)
	fabric (Stoff)
	carpet** (Teppich)
	paper (Papier)
	cable (Kabel)



* not in game yet
glass*: not correct category yet
wax**: not currently used
